family_id,id,language,slug,question,options,correct_indicators,correct_answer,anecdote,image,categories,associated_series,translations,source
"javelin-record","5706","de","wer-halt-den-weltrekord-im-speerwurf-der-manner","Wer hält den Weltrekord im Speerwurf der Männer?","[""Andreas Thorkildsen"",""Uwe Hohn"",""Jan Železný"",""Johannes Vetter""]","[false,false,true,false]","Jan Železný","Jan Železný warf den seit 1986 verwendeten Speertyp am 25. Mai 1996 in Jena 98,48 Meter weit. Die Bestmarke des Tschechen besteht seit Jahrzehnten.

Železný gewann außerdem drei olympische Goldmedaillen in Folge. Uwe Hohns früherer Wurf über 100 Meter zählt zu einem alten Speermodell, dessen Schwerpunkt aus Sicherheitsgründen verändert wurde.","3703","[]","[5502]","{""de"":5706,""en"":3702,""fr"":2437,""es"":7467}","{""url"":""https://worldathletics.org/records/all-time-toplists/throws/javelin-throw/all/men/senior"",""label"":""World Athletics — Javelin Throw Men"",""reviewedAt"":""2026-08-09""}"
"javelin-record","7467","es","que-atleta-posee-el-record-mundial-masculino-de-lanzamiento-de-jabalina","¿Qué atleta posee el récord mundial masculino de lanzamiento de jabalina?","[""Andreas Thorkildsen"",""Uwe Hohn"",""Jan Železný"",""Johannes Vetter""]","[false,false,true,false]","Jan Železný","Jan Železný posee el récord mundial masculino de jabalina con 98,48 metros, logrados en Jena, Alemania, el 25 de mayo de 1996. World Athletics seguía situándolo en primer lugar en la fecha de la auditoría, por delante de los 97,76 metros de Johannes Vetter.

El atleta checo ganó además tres títulos olímpicos y es considerado uno de los mejores lanzadores de la historia.","3703","[]","[7263]","{""es"":7467,""en"":3702,""fr"":2437,""de"":5706}","{""url"":""https://worldathletics.org/records/all-time-toplists/throws/javelin-throw/all/men/senior"",""label"":""World Athletics — Javelin Throw Men"",""reviewedAt"":""2026-08-09""}"
"new-zealand-capital","976","fr","quelle-est-la-capitale-de-laustralie","Quelle est la capitale de la Nouvelle-Zélande, souvent confondue avec sa ville la plus peuplée, Auckland ?","[""Wellington"",""Christchurch"",""Auckland"",""Dunedin""]","[true,false,false,false]","Wellington","Wellington est la capitale de la Nouvelle-Zélande depuis 1865. Elle accueille le Parlement, les bureaux du Cabinet et du Premier ministre, ainsi que les plus hautes juridictions du pays. Auckland, qui fut la capitale de 1841 à 1865, est aujourd’hui nettement plus peuplée, ce qui explique la confusion fréquente.","1083","[]","[975]","{""fr"":976,""en"":4292,""de"":6130,""es"":7891}","{""url"":""https://teara.govt.nz/en/capital-city"",""label"":""Te Ara — Capital city"",""reviewedAt"":""2026-08-09""}"
"new-zealand-capital","4292","en","what-is-the-capital-of-new-zealand-often-confused-with-its-most-populous-city-auckland","What is the capital of New Zealand, often confused with its most populous city, Auckland?","[""Wellington"",""Christchurch"",""Auckland"",""Dunedin""]","[true,false,false,false]","Wellington","Wellington has been New Zealand’s capital since 1865. It is home to Parliament, the offices of Cabinet and the prime minister, and the country’s highest courts. Auckland, which served as the capital from 1841 to 1865, is now much more populous, which explains the frequent confusion.","4293","[]","[3167]","{""en"":4292,""fr"":976,""de"":6130,""es"":7891}","{""url"":""https://teara.govt.nz/en/capital-city"",""label"":""Te Ara — Capital city"",""reviewedAt"":""2026-08-09""}"
"new-zealand-capital","6130","de","wie-heist-die-hauptstadt-neuseelands-die-oft-mit-der-groseren-stadt-auckland-verwechselt-wird","Wie heißt die Hauptstadt Neuseelands, die oft mit der größeren Stadt Auckland verwechselt wird?","[""Wellington"",""Christchurch"",""Auckland"",""Dunedin""]","[true,false,false,false]","Wellington","Wellington ist seit 1865 Hauptstadt Neuseelands und Sitz von Parlament, Regierung und den höchsten Gerichten. Die Lage an der Cookstraße verbindet die Nord- und Südinsel strategisch.

Auckland war von 1841 bis 1865 Hauptstadt und ist heute mit großem Abstand die bevölkerungsreichere Stadt. Daher wird sie häufig fälschlich für die Hauptstadt gehalten.","4293","[]","[5461]","{""de"":6130,""en"":4292,""fr"":976,""es"":7891}","{""url"":""https://teara.govt.nz/en/capital-city"",""label"":""Te Ara — Capital city"",""reviewedAt"":""2026-08-09""}"
"new-zealand-capital","7891","es","cual-es-la-capital-de-nueva-zelanda-a-menudo-confundida-con-la-ciudad-mas-poblada-auckland","¿Cuál es la capital de Nueva Zelanda, a menudo confundida con la ciudad más poblada, Auckland?","[""Wellington"",""Christchurch"",""Auckland"",""Dunedin""]","[true,false,false,false]","Wellington","Wellington es la capital de Nueva Zelanda desde 1865. Alberga el Parlamento, las oficinas del Gobierno y del primer ministro, así como los tribunales superiores del país.

Auckland había ejercido como capital entre 1841 y 1865, antes de que las instituciones se trasladaran a Wellington por su posición más central entre las dos grandes islas. En la actualidad, Auckland posee una población considerablemente mayor y es el principal centro urbano y económico neozelandés.

Esa diferencia de tamaño y proyección internacional explica que muchas personas la confundan todavía con la capital política.","4293","[]","[7222]","{""es"":7891,""en"":4292,""fr"":976,""de"":6130}","{""url"":""https://teara.govt.nz/en/capital-city"",""label"":""Te Ara — Capital city"",""reviewedAt"":""2026-08-09""}"
"festival-in-the-desert","633","fr","dans-quel-festival-international-peut-on-vivre-lexperience-unique-de-concerts-dans-un-desert","Quel festival malien est devenu célèbre pour ses concerts en plein air dans le Sahara près de Tombouctou ?","[""Burning Man"",""Festival au Désert"",""Coachella"",""Desert Daze""]","[false,true,false,false]","Festival au Désert","Créé en 2001, le Festival au Désert se tenait à Essakane, près de Tombouctou, et mettait en avant les musiques touarègues aux côtés d’artistes du monde entier. La crise politico-sécuritaire de 2012 et l’interdiction de la musique dans le nord du Mali ont empêché son retour sur son site. L’organisation a ensuite fait vivre ses valeurs de paix et de tolérance sous forme d’une caravane itinérante et de concerts en exil.","645","[]","[626]","{""fr"":633,""en"":4512,""de"":6236,""es"":7997}","{""url"":""https://www.essakaneproduction.com/thepeacecaravan"",""label"":""Essakane Production — Festival au Désert"",""reviewedAt"":""2026-08-09""}"
"festival-in-the-desert","4512","en","dans-quel-festival-international-peut-on-vivre-lexperience-unique-de-concerts-dans-un-desert","Which Malian festival became famous for open-air concerts in the Sahara near Timbuktu?","[""Burning Man"",""Festival in the Desert"",""Coachella"",""Desert Daze""]","[false,true,false,false]","Festival in the Desert","Founded in 2001, the Festival in the Desert was held at Essakane, near Timbuktu, showcasing Tuareg music alongside artists from around the world. The 2012 political and security crisis and the ban on music in northern Mali prevented the event from returning to its site. Its organisers later carried its message of peace and tolerance through a touring caravan and concerts in exile.","4513","[]","[3156]","{""en"":4512,""fr"":633,""de"":6236,""es"":7997}","{""url"":""https://www.essakaneproduction.com/thepeacecaravan"",""label"":""Essakane Production — Festival au Désert"",""reviewedAt"":""2026-08-09""}"
"festival-in-the-desert","6236","de","welches-malische-festival-wurde-durch-freiluftkonzerte-in-der-sahara-nahe-timbuktu-bekannt","Welches malische Festival wurde durch Freiluftkonzerte in der Sahara nahe Timbuktu bekannt?","[""Burning Man"",""Festival au Désert"",""Coachella"",""Desert Daze""]","[false,true,false,false]","Festival au Désert","Das 2001 gegründete „Festival au Désert“ fand bei Essakane nahe Timbuktu statt und präsentierte Tuareg-Musik neben Künstlern aus aller Welt.

Die politische und sicherheitspolitische Krise von 2012 verhinderte eine Rückkehr an den ursprünglichen Ort. Die Organisatoren trugen die Botschaft von Frieden und Verständigung später mit einer reisenden Karawane und Konzerten im Exil weiter.","4513","[]","[5450]","{""de"":6236,""fr"":633,""en"":4512,""es"":7997}","{""url"":""https://www.essakaneproduction.com/thepeacecaravan"",""label"":""Essakane Production — Festival au Désert"",""reviewedAt"":""2026-08-09""}"
"festival-in-the-desert","7997","es","que-festival-maliense-se-hizo-famoso-por-sus-conciertos-al-aire-libre-en-el-sahara-cerca-de-tombuctu","¿Qué festival maliense se hizo famoso por sus conciertos al aire libre en el Sáhara, cerca de Tombuctú?","[""Burning Man"",""Festival au Désert"",""Coachella"",""Desert Daze""]","[false,true,false,false]","Festival au Désert","Fundado en 2001, el Festival au Désert se celebraba en Essakane, cerca de Tombuctú, y reunía música tuareg con artistas de todo el mundo. La crisis política y de seguridad de 2012, junto con la prohibición de la música en el norte de Malí, impidió su regreso al lugar original.

Sus organizadores mantuvieron vivo su mensaje de paz y tolerancia mediante una caravana itinerante y conciertos en el exilio.","4513","[]","[7211]","{""es"":7997,""fr"":633,""en"":4512,""de"":6236}","{""url"":""https://www.essakaneproduction.com/thepeacecaravan"",""label"":""Essakane Production — Festival au Désert"",""reviewedAt"":""2026-08-09""}"
"blue-note-new-york","456","fr","lequel-de-ces-clubs-de-jazz-est-celebre-a-new-york","Quel club de jazz a ouvert dans Greenwich Village, à New York, en 1981 ?","[""The Blue Note"",""The Cotton Club"",""Birdland"",""Village Vanguard.""]","[true,false,false,false]","The Blue Note","Le Blue Note ouvrit en 1981 dans Greenwich Village, à New York, à l’initiative de Danny Bensusan. Le club voulait offrir aux artistes de jazz un lieu intimiste où la musique resterait au centre de l’expérience. Il accueillit au fil du temps des musiciens tels que Sarah Vaughan, Dizzy Gillespie, Oscar Peterson, Ray Brown, Stanley Turrentine et Tito Puente, puis développa des établissements et partenariats ailleurs dans le monde. John Coltrane, mort en 1967, ne pouvait évidemment pas s’y être produit. Le Cotton Club, Birdland et le Village Vanguard appartiennent à d’autres périodes importantes de l’histoire du jazz new-yorkais.","467","[]","[451]","{""fr"":456,""en"":4629,""de"":6286,""es"":8047}","{""url"":""https://www.bluenotejazz.com/nyc/about/"",""label"":""Blue Note New York — About"",""reviewedAt"":""2026-08-09""}"
"blue-note-new-york","4629","en","which-new-york-jazz-club-is-famous-for-having-hosted-legends-like-miles-davis-and-john-coltrane","What jazz club opened in Greenwich Village, New York, in 1981?","[""The Blue Note"",""The Cotton Club"",""Birdland"",""Village Vanguard""]","[true,false,false,false]","The Blue Note","The Blue Note opened in 1981 in Greenwich Village, New York, on the initiative of Danny Bensusan. The club wanted to offer jazz artists an intimate place where music would remain at the center of the experience. Over time, it welcomed musicians such as Sarah Vaughan, Dizzy Gillespie, Oscar Peterson, Ray Brown, Stanley Turrentine and Tito Puente, then developed establishments and partnerships elsewhere in the world. John Coltrane, who died in 1967, obviously could not have performed there. The Cotton Club, Birdland and the Village Vanguard belong to other important periods in New York jazz history.","4630","[]","[3151]","{""en"":4629,""fr"":456,""de"":6286,""es"":8047}","{""url"":""https://www.bluenotejazz.com/nyc/about/"",""label"":""Blue Note New York — About"",""reviewedAt"":""2026-08-09""}"
"blue-note-new-york","6286","de","welcher-1981-eroffnete-new-yorker-jazzclub-wurde-zu-einer-internationalen-institution-des-genres","Welcher 1981 eröffnete New Yorker Jazzclub wurde zu einer internationalen Institution des Genres?","[""The Blue Note"",""The Cotton Club"",""Birdland"",""Alle genannten""]","[true,false,false,false]","The Blue Note","Das Blue Note öffnete 1981 in Greenwich Village und entwickelte sich zu einem der bekanntesten Jazzclubs New Yorks. Musiker wie Dizzy Gillespie, Oscar Peterson und später auch zahlreiche jüngere Stars traten dort auf.

Der intime Raum verbindet etablierte Größen mit neuen Talenten. Ableger in mehreren Ländern machten den Namen Blue Note zu einer internationalen Institution der Live-Jazzkultur.","4630","[]","[5445]","{""de"":6286,""en"":4629,""fr"":456,""es"":8047}","{""url"":""https://www.bluenotejazz.com/nyc/about/"",""label"":""Blue Note New York — About"",""reviewedAt"":""2026-08-09""}"
"blue-note-new-york","8047","es","que-club-de-jazz-abrio-en-greenwich-village-nueva-york-en-1981","¿Qué club de jazz abrió en Greenwich Village, Nueva York, en 1981?","[""The Blue Note"",""The Cotton Club"",""Birdland"",""Village Vanguard""]","[true,false,false,false]","The Blue Note","The Blue Note abrió en 1981 en Greenwich Village por iniciativa de Danny Bensusan. Su objetivo era ofrecer a los artistas de jazz un espacio íntimo donde la música ocupara el centro de la experiencia.

Con el tiempo acogió a músicos como Sarah Vaughan, Dizzy Gillespie, Oscar Peterson, Ray Brown, Stanley Turrentine y Tito Puente, y después extendió su nombre a otros lugares del mundo. John Coltrane, fallecido en 1967, no pudo actuar allí.

The Cotton Club, Birdland y Village Vanguard pertenecen a otros periodos importantes de la historia del jazz neoyorquino.","4630","[]","[7206]","{""es"":8047,""en"":4629,""fr"":456,""de"":6286}","{""url"":""https://www.bluenotejazz.com/nyc/about/"",""label"":""Blue Note New York — About"",""reviewedAt"":""2026-08-09""}"
"black-billed-parrot","1047","fr","quelle-ile-situee-dans-la-mer-des-caraibes-est-le-seul-habitat-au-monde-du-perroquet-jaco","Quelle île des Caraïbes est l’unique habitat naturel de l’Amazone verte (Amazona agilis) ?","[""Cuba"",""Jamaïque"",""Hispaniola"",""Porto Rico.""]","[false,true,false,false]","Jamaïque","L’Amazone verte, aussi appelée amazone à bec noir, porte le nom scientifique « Amazona agilis ». Ce perroquet est endémique de la Jamaïque : à l’état sauvage, il ne vit nulle part ailleurs. Il fréquente principalement les forêts humides de montagne, notamment dans les Blue Mountains et le Cockpit Country, où il se nourrit de fruits, de graines et de fleurs. Son bec sombre permet de le distinguer de l’Amazone à bec jaune, l’autre amazone endémique de l’île. Le perroquet jaco est une espèce différente, originaire d’Afrique centrale et occidentale, et ne doit pas être associé à la Jamaïque.","1057","[]","[1039]","{""fr"":1047,""en"":4244,""de"":6102,""es"":7863}","{""url"":""https://jis.gov.jm/jamaican-parrots-being-sold-illegally/"",""label"":""Jamaica Information Service — Jamaican parrots"",""reviewedAt"":""2026-08-09""}"
"black-billed-parrot","4244","en","which-island-located-in-the-caribbean-sea-is-the-only-habitat-in-the-world-for-the-jaco-parrot","Which Caribbean island is the only natural habitat of the black-billed amazon (Amazona agilis)?","[""Cuba"",""Jamaica"",""Hispaniola"",""Puerto Rico""]","[false,true,false,false]","Jamaica","The black-billed amazon, whose scientific name is “Amazona agilis,” is endemic to Jamaica and occurs naturally nowhere else. It mainly inhabits humid mountain forests, including areas in the Blue Mountains and Cockpit Country, where it feeds on fruit, seeds and flowers. Its dark bill helps distinguish it from the yellow-billed amazon, Jamaica’s other endemic amazon parrot. The African grey parrot, sometimes called the grey or Congo grey, is a different species native to parts of central and western Africa. It should not be described as an endemic Jamaican bird.","4228","[]","[3169]","{""en"":4244,""fr"":1047,""de"":6102,""es"":7863}","{""url"":""https://jis.gov.jm/jamaican-parrots-being-sold-illegally/"",""label"":""Jamaica Information Service — Jamaican parrots"",""reviewedAt"":""2026-08-09""}"
"black-billed-parrot","6102","de","welche-karibikinsel-ist-die-einzige-heimat-der-jamaika-amazone","Welche Karibikinsel ist die einzige Heimat der Jamaika-Amazone?","[""Kuba"",""Jamaika"",""Hispaniola"",""Puerto Rico""]","[false,true,false,false]","Jamaika","Die Jamaika-Amazone, auch Gelbschnabelamazone genannt, kommt ausschließlich auf Jamaika vor. Der farbenprächtige Papagei lebt vor allem in den Wäldern des Inselinneren.

Indem er Früchte frisst und Samen verbreitet, trägt er zur Erneuerung des Waldes bei. Der Schutz geeigneter Lebensräume ist entscheidend für das Überleben dieser endemischen Art.","4228","[]","[5463]","{""de"":6102,""en"":4244,""fr"":1047,""es"":7863}","{""url"":""https://jis.gov.jm/jamaican-parrots-being-sold-illegally/"",""label"":""Jamaica Information Service — Jamaican parrots"",""reviewedAt"":""2026-08-09""}"
"black-billed-parrot","7863","es","que-isla-caribena-es-el-unico-habitat-natural-del-loro-de-pico-negro-amazona-agilis","¿Qué isla caribeña es el único hábitat natural del loro de pico negro «Amazona agilis»?","[""Cuba"",""Jamaica"",""La Española"",""Puerto Rico""]","[false,true,false,false]","Jamaica","El loro de pico negro, cuyo nombre científico es «Amazona agilis», es endémico de Jamaica y no vive de forma natural en ningún otro lugar. Habita principalmente los bosques húmedos de montaña, incluidos los de las Blue Mountains y Cockpit Country, donde se alimenta de frutos, semillas y flores.

Su pico oscuro permite distinguirlo del loro de pico amarillo, la otra amazona endémica de la isla. El loro gris africano o yaco es una especie completamente diferente, originaria de África central y occidental, por lo que no debe relacionarse con Jamaica.","4228","[]","[7224]","{""es"":7863,""en"":4244,""fr"":1047,""de"":6102}","{""url"":""https://jis.gov.jm/jamaican-parrots-being-sold-illegally/"",""label"":""Jamaica Information Service — Jamaican parrots"",""reviewedAt"":""2026-08-09""}"
"first-circumnavigation","1399","fr","qui-a-ete-le-premier-explorateur-a-realiser-le-tour-du-monde","Quel explorateur a lancé l’expédition du premier tour du monde, achevée par Juan Sebastián Elcano ?","[""Marco Polo"",""Christophe Colomb"",""Ferdinand Magellan"",""Vasco de Gama.""]","[false,false,true,false]","Ferdinand Magellan","L’expédition partie d’Espagne en 1519 fut organisée sous le commandement de Ferdinand Magellan afin de rejoindre les îles aux épices par l’ouest. Magellan découvrit le passage qui porte aujourd’hui son nom et traversa l’océan Pacifique, mais il mourut aux Philippines en 1521. Juan Sebastián Elcano prit ensuite le commandement de la « Victoria » et ramena le navire en Espagne en septembre 1522. Elcano et les autres survivants revenus avec lui furent ainsi les premiers à accomplir un tour complet du globe. L’exploit doit donc être présenté comme une expédition initiée par Magellan et achevée par Elcano.","1452","[]","[1398]","{""fr"":1399,""en"":4061,""de"":6000,""es"":7761}","{""url"":""https://www.unesco.org/en/memory-world/first-voyage-circumnavigation-fernao-de-magalhaes-and-juan-sebastian-elcano-1519-1522"",""label"":""UNESCO — First voyage of circumnavigation"",""reviewedAt"":""2026-08-09""}"
"first-circumnavigation","4061","en","who-was-the-first-explorer-to-circumnavigate-the-globe","Which explorer launched the first round-the-world expedition, completed by Juan Sebastián Elcano?","[""Marco Polo"",""Christophe Colomb"",""Ferdinand Magellan"",""Vasco de Gama""]","[false,false,true,false]","Ferdinand Magellan","The expedition that left Spain in 1519 was organized under the command of Ferdinand Magellan to reach the Spice Islands from the west. Magellan discovered the passage that today bears his name and crossed the Pacific Ocean, but he died in the Philippines in 1521. Juan Sebastián Elcano then took command of the ""Victoria"" and brought the ship back to Spain in September 1522. Elcano and the other survivors who returned with him were thus the first to complete a complete circumnavigation of the globe. The exploit must therefore be presented as an expedition initiated by Magellan and completed by Elcano.","1453","[]","[3179]","{""en"":4061,""fr"":1399,""de"":6000,""es"":7761}","{""url"":""https://www.unesco.org/en/memory-world/first-voyage-circumnavigation-fernao-de-magalhaes-and-juan-sebastian-elcano-1519-1522"",""label"":""UNESCO — First voyage of circumnavigation"",""reviewedAt"":""2026-08-09""}"
